epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4212.42,0.48457,0.92696,0.38664,0.87614,0.97023,0.93944,0.96401,0.86773,0.95163,0.9192,0.94041,0.73079,0.44906,1.13631,0.33777,0.83094,8.85784e-05,8.85784e-05,8.85784e-05
86,4261.83,0.48304,0.9344,0.38461,0.87427,0.97483,0.93774,0.96694,0.86749,0.9563,0.91543,0.94128,0.73341,0.446,1.13217,0.33149,0.8258,8.3371e-05,8.3371e-05,8.3371e-05
87,4311.92,0.47695,0.91668,0.3788,0.87214,0.97185,0.93952,0.96863,0.87029,0.95468,0.92345,0.946,0.72848,0.44608,1.13197,0.3391,0.82945,7.81636e-05,7.81636e-05,7.81636e-05
88,4361.13,0.46825,0.91886,0.37728,0.86799,0.9747,0.93141,0.96514,0.8677,0.95667,0.91955,0.94461,0.72581,0.44901,1.15051,0.34119,0.82871,7.29562e-05,7.29562e-05,7.29562e-05
89,4410.74,0.47562,0.93,0.37849,0.86788,0.97579,0.92983,0.96564,0.86906,0.95536,0.91865,0.94054,0.7278,0.44604,1.1303,0.33569,0.83061,6.77488e-05,6.77488e-05,6.77488e-05
90,4459.76,0.47558,0.90896,0.37961,0.87392,0.97736,0.93501,0.96743,0.8694,0.9578,0.91584,0.93821,0.73657,0.43775,1.14378,0.33154,0.83009,6.25414e-05,6.25414e-05,6.25414e-05
91,4509.53,0.43158,0.82046,0.33501,0.8428,0.97483,0.92645,0.96378,0.86488,0.95542,0.90878,0.93918,0.72833,0.44877,1.15086,0.34036,0.83206,5.7334e-05,5.7334e-05,5.7334e-05
92,4557.93,0.42877,0.80622,0.3277,0.84483,0.97914,0.92763,0.96393,0.86342,0.95993,0.91032,0.93792,0.73411,0.45466,1.14711,0.33697,0.8334,5.21266e-05,5.21266e-05,5.21266e-05
93,4606.23,0.42612,0.79841,0.32536,0.8395,0.98029,0.93271,0.96568,0.86934,0.96434,0.91312,0.94211,0.73146,0.44415,1.13345,0.3332,0.83376,4.69192e-05,4.69192e-05,4.69192e-05
94,4654.36,0.42344,0.79818,0.3242,0.83965,0.97959,0.93135,0.96453,0.87023,0.96454,0.91546,0.94309,0.73115,0.44162,1.1334,0.3349,0.83361,4.17118e-05,4.17118e-05,4.17118e-05
95,4702.14,0.42434,0.79933,0.32413,0.84302,0.97804,0.93517,0.96611,0.86894,0.96233,0.91861,0.94526,0.72696,0.45158,1.13944,0.32974,0.83144,3.65044e-05,3.65044e-05,3.65044e-05
96,4749.9,0.42163,0.78382,0.32414,0.84107,0.97556,0.93183,0.96536,0.86881,0.96082,0.91847,0.94641,0.73506,0.45417,1.14145,0.33117,0.83233,3.1297e-05,3.1297e-05,3.1297e-05
97,4797.06,0.41906,0.78322,0.31789,0.84104,0.97019,0.9331,0.96507,0.86975,0.95422,0.91872,0.94647,0.73434,0.44926,1.14266,0.33007,0.83046,2.60896e-05,2.60896e-05,2.60896e-05
98,4844.34,0.4225,0.78928,0.31842,0.84074,0.97035,0.93263,0.96664,0.8726,0.95206,0.91555,0.94343,0.72929,0.44099,1.14695,0.32538,0.82897,2.08822e-05,2.08822e-05,2.08822e-05
99,4891.51,0.41519,0.78249,0.31768,0.83932,0.96546,0.94138,0.96574,0.86821,0.95322,0.91544,0.94076,0.73481,0.44764,1.14675,0.33004,0.83022,1.56748e-05,1.56748e-05,1.56748e-05
100,4938.62,0.41327,0.781,0.31457,0.83882,0.97357,0.93305,0.96591,0.86918,0.95663,0.91528,0.94355,0.74084,0.43665,1.13692,0.32741,0.82819,1.04674e-05,1.04674e-05,1.04674e-05
